SSIP, SDFP, SDFB, SFE, RFIP, ENTROPY,CLASS
72,0.064415103473918,13.3892518824698,72,0.106481481481481,0.697942446954019,1
194,0.09254455676629,7.41719601383461,194,0.003430531732419,0.009956839876982,1
45,8.26171360310477,558.064408600245,45,0.043795620437956,0.342028082724178,1
101,0,11.7983236595912,101,0.088815789473684,0.622915490434314,1
3,1.73596227071171,114.679786523066,3,1,0.931980642385062,0
21,4.78603725583765,476.863857727898,21,1,1.7629376797927,0
21,0.115768523935548,16.9067113911547,21,0.890625,1.74672506513289,0
203,1.61323186511195,121.96167358747,203,0.037766830870279,0.595435261803434,1
91,3.38759009720283,244.50967715455,91,0.021978021978022,0.21743515737124,1
21,4.07468748858058,406.736059653213,21,0.953125,1.74431711715348,0
15,3.33003952488726,227.133319630675,15,0.531914893617021,1.59200023430416,0
21,3.19324810689933,318.88177024638,21,0.984375,1.75561173072716,0
21,5.16529389234862,513.710475088472,21,1,1.76384105557244,0
76,6.46318500560418,442.609935417807,76,0.017543859649123,0.094519229295705,1
2,11.1406671299297,742.476889419152,2,1,0.686226776314044,0
41,4.50086496877301,305.321153738838,41,0.032520325203252,0.146204282267357,1
111,0.09016393442623,13.4014686129619,111,0.054054054054054,0.542173467863341,1
14,4.80322973174849,345.5992965228,14,0.534883720930232,1.43091345908239,0
21,5.13937964549185,511.687910850351,21,1,1.74660626549881,0
109,2.19470895675128,154.817702152092,109,0.015290519877676,0.121410628559035,1
163,0.887927696097426,63.9378049268938,163,0.065173116089613,0.429224876069553,1
170,2.06112674411008,165.934005245241,170,0.08984375,0.715510396391344,1
21,5.21981693455225,518.757953873086,21,0.904761904761905,1.75718624086107,0
1,7.96662588726756,542.545538088421,1,1,0.475586272773343,0
21,1.62725278806823,164.438287874999,21,1,1.76127251217597,0
16,7.35236972569335,531.338327159203,16,0.729166666666667,1.48262717360172,0
58,4.83146235830232,334.364663905689,58,0.022857142857143,0.114290691444415,1
